e, e_dot, e_int, stamp, 
-0.00026173499681947376, 7.582798620712576e-05, -5.757753472742705e-05, 1731624631219589708, 
0.0003684918429116557, 0.0021565073293938752, -1.086193489849203e-05, 1731624631309520243, 
0.0012183960293041807, 0.004933770087078848, 9.273425476009348e-05, 1731624631429529836, 
0.0018027092448336113, 0.004780724673073185, 0.0002372707214314438, 1731624631519519290, 
0.0014552369104814389, 0.0007894696039241941, 0.0002834013285140268, 1731624631619462587, 
0.0009875887272623451, -0.0027170683919042204, 0.00027220607628592163, 1731624631711866839, 
0.0008348256713528457, -0.002068037463761977, 0.00020780461710458506, 1731624631809663982, 
0.0003304216026198681, -0.00219055708214159, 0.00014904748504068697, 1731624631919566104, 
-0.00017655830580931564, -0.003371279923873871, 6.91673365844036e-05, 1731624632019539905, 
-0.0003454459282918876, -0.0022528917697058524, -1.2193686695182701e-05, 1731624632110507526, 
-0.00035010384267009087, -0.0005784851228692508, -5.5275029105951395e-05, 1731624632209682723, 
-0.000261882152964521, 0.0002785459177578886, -6.670780421286337e-05, 1731624632319528562, 
-0.00026862559827511845, 0.0002715941479832414, -6.157898954194972e-05, 1731624632419465299, 
-0.0002476642766220394, 4.739292114160539e-05, -4.9279753163907435e-05, 1731624632509511309, 
-0.00018532526596182208, 0.00027766777437765455, -4.9128311570060585e-05, 1731624632629530513, 
-0.0001096725335560933, 0.00045997247688648696, -3.801729895550721e-05, 1731624632719682430, 
1.7052007969642347e-05, 0.0006745909131048814, -1.7602691655727634e-05, 1731624632819524665, 
0.0002522327382155076, 0.0012063509059053363, 1.010076189110622e-05, 1731624632909531848, 
0.0006059614416642489, 0.0019630314456486886, 5.5475113826388385e-05, 1731624633009671556, 
0.0009219255684840277, 0.0022323094342284002, 0.00012579564037211511, 1731624633121532710, 
0.0001812633948046205, -0.0014156601561987614, 0.00011952778480995687, 1731624633219473662, 
-0.0009203994164890261, -0.006141083283243513, 1.1452886581795791e-05, 1731624633309501116, 
-0.0011922110038291578, -0.004578247995445928, -0.00012248329035177035, 1731624633409729409, 
-0.0012331523561655011, -0.0010425097989215832, -0.00023537021350859702, 1731624633520547352, 
-0.0013159530873014802, -0.00041247361157440804, -0.0002615896035206917, 1731624633619486809, 
-0.0009456233541125236, 0.0009584300068432583, -0.00022014530451709805, 1731624633709527943, 
-0.0004271597731966281, 0.002962644380349507, -0.00017054769873055167, 1731624633809778104, 
-0.00019817191299775772, 0.0024915048037158862, -0.00011048832768155179, 1731624633920523786, 
0.0010223645431972628, 0.004831747721312969, 2.7752957739712398e-05, 1731624634019480832, 
